"replica","omega","sigma_q","sigma_t","phi","eta","shock","calibracion_ok","shock_ok","pib_real_base","pib_real_shock","var_pib_real_pct","var_c_real_pct","var_i_real_pct","var_x_real_pct","var_m_real_pct","delta_tax_pp_pib","delta_u_pp","norm_calibracion"
1,1.62192077858708,1.53231474088898,1.25145184909161,0.136503337849717,0.65945336160803,"iva",TRUE,TRUE,282097.798326924,281715.748038739,-0.135431857480117,-0.149516484642709,-0.10174413174362,-0.163210921453461,-0.100512510316353,-0.00823049476096904,0.480943629252585,2.4776504196099e-05
1,1.62192077858708,1.53231474088898,1.25145184909161,0.136503337849717,0.65945336160803,"pit",TRUE,TRUE,282097.798326924,280885.041522621,-0.429906511676148,-0.551000161873483,-0.239071688120041,-0.26461095828989,-0.144235297149653,-0.00777643739665879,0.906024408277647,2.4776504196099e-05
1,1.62192077858708,1.53231474088898,1.25145184909161,0.136503337849717,0.65945336160803,"fit",TRUE,TRUE,282097.798326924,282543.254105424,0.157908279022934,0.104303442564069,0.363738433719485,0.087005098794779,0.0692267480735698,-0.039498141772662,-0.343338261635828,2.4776504196099e-05
2,0.653108532424085,3.15692059338835,0.7818677705136,0.0785305569892444,0.667763628099056,"iva",TRUE,TRUE,282097.798326924,281785.048969148,-0.110865579111463,-0.111400956911223,-0.0999278045467733,-0.170904049456544,-0.112005220928035,-0.00438211628581986,0.433042849547563,2.47765041941237e-05
2,0.653108532424085,3.15692059338835,0.7818677705136,0.0785305569892444,0.667763628099056,"pit",TRUE,TRUE,282097.798326924,281013.195566272,-0.38447757022011,-0.480166021015982,-0.236558824381505,-0.278700929189513,-0.165331130737056,-0.000604105558335566,0.81706640679544,2.47765041941237e-05
2,0.653108532424085,3.15692059338835,0.7818677705136,0.0785305569892444,0.667763628099056,"fit",TRUE,TRUE,282097.798326924,282500.243722667,0.142661657811494,0.0780971249580764,0.367431745076385,0.0981187540062489,0.0816576532158608,-0.0410041467545641,-0.314704198427433,2.47765041941237e-05
3,2.20305805328462,1.15266781772152,2.50674462658753,0.101831186522395,0.264212081074948,"iva",TRUE,TRUE,282097.798326924,281781.564507642,-0.112100775389712,-0.150172765957701,-0.0346115710035955,-0.127382817505917,-0.0882156633414399,0.0110972247399477,0.42746131417769,2.47765041951477e-05
3,2.20305805328462,1.15266781772152,2.50674462658753,0.101831186522395,0.264212081074948,"pit",TRUE,TRUE,282097.798326924,281060.350240177,-0.367761851705295,-0.539506762166908,-0.080992738468022,-0.18341547792935,-0.116267308929774,0.0360368090191104,0.766036229836928,2.47765041951477e-05
3,2.20305805328462,1.15266781772152,2.50674462658753,0.101831186522395,0.264212081074948,"fit",TRUE,TRUE,282097.798326924,282173.432631712,0.0268113772020628,0.0213325604424552,0.121123903406706,-0.0239631573157317,0.0276528475459337,-0.0982484368152403,-0.0580212617778459,2.47765041951477e-05
4,2.0877430321525,3.12781792173155,2.86927736951657,0.0844951311404657,0.33171428743517,"iva",TRUE,TRUE,282097.798326924,281761.158401127,-0.119334474708388,-0.157673164293592,-0.0445510812227989,-0.0969739306335926,-0.0560086468862298,0.0100636850231872,0.442955034055684,2.47765041958876e-05
4,2.0877430321525,3.12781792173155,2.86927736951657,0.0844951311404657,0.33171428743517,"pit",TRUE,TRUE,282097.798326924,281014.752155569,-0.383925779562277,-0.555254186053578,-0.104343146243924,-0.130341767639119,-0.0584925598053565,0.0329447228370278,0.800593747971311,2.47765041958876e-05
4,2.0877430321525,3.12781792173155,2.86927736951657,0.0844951311404657,0.33171428743517,"fit",TRUE,TRUE,282097.798326924,282232.411475257,0.0477186100465321,0.0367893271398634,0.156658414960043,-0.0130447244760079,0.0292300154281167,-0.0903188188223186,-0.103216503723637,2.47765041958876e-05
5,0.787538015320024,3.52095034265949,1.986137230645,0.136920281804851,0.31092145977309,"iva",TRUE,TRUE,282097.798326924,281854.553999759,-0.0862269498761892,-0.101752216292283,-0.039468038249002,-0.139624800157712,-0.093362440148359,0.00600967324815571,0.377995706821442,2.47765041961166e-05
5,0.787538015320024,3.52095034265949,1.986137230645,0.136920281804851,0.31092145977309,"pit",TRUE,TRUE,282097.798326924,281184.552595868,-0.323733732227593,-0.454392932017955,-0.0935495662656605,-0.206653646754773,-0.125504626446971,0.0259470915682403,0.682546757837654,2.47765041961166e-05
5,0.787538015320024,3.52095034265949,1.986137230645,0.136920281804851,0.31092145977309,"fit",TRUE,TRUE,282097.798326924,282197.837360443,0.0354625360823979,0.0220227568221265,0.145135597977419,-0.00698093784493592,0.0371871942427493,-0.0919670084843782,-0.0776884538127941,2.47765041961166e-05
6,1.2975204790273,2.63275936329228,1.14079203163146,0.137848087723978,0.366068229169468,"iva",TRUE,TRUE,282097.798326924,281812.612439398,-0.101094687451508,-0.121713810545876,-0.0485514267327236,-0.130718682883035,-0.082263797867832,0.0042133616649731,0.407765712676504,2.47765041976896e-05
6,1.2975204790273,2.63275936329228,1.14079203163146,0.137848087723978,0.366068229169468,"pit",TRUE,TRUE,282097.798326924,281102.670707632,-0.35275979649404,-0.491531371313281,-0.114496462867486,-0.192545671177025,-0.106127692646807,0.0215831055954713,0.741112703301767,2.47765041976896e-05
6,1.2975204790273,2.63275936329228,1.14079203163146,0.137848087723978,0.366068229169468,"fit",TRUE,TRUE,282097.798326924,282248.29165889,0.0533479285760974,0.0350687069181843,0.175203750199215,0.00365122714736099,0.0392388675753086,-0.0847669136168794,-0.116204172528779,2.47765041976896e-05
7,1.99663153730944,3.18396383043182,0.770940979626175,0.0635073739586005,0.642905411512766,"iva",TRUE,TRUE,282097.798326924,281679.702647267,-0.148209479881245,-0.176022953069477,-0.100447695160966,-0.0979003370376486,-0.0431214624360021,-0.000906934687777694,0.505166760426228,2.47765041966989e-05
7,1.99663153730944,3.18396383043182,0.770940979626175,0.0635073739586005,0.642905411512766,"pit",TRUE,TRUE,282097.798326924,280820.421406693,-0.452813502199279,-0.600041641783555,-0.234939193074812,-0.140261763209337,-0.0354752399771341,0.00650231237621646,0.94879416535438,2.47765041966989e-05
7,1.99663153730944,3.18396383043182,0.770940979626175,0.0635073739586005,0.642905411512766,"fit",TRUE,TRUE,282097.798326924,282552.494230485,0.161183783162233,0.118711571593733,0.353052981602775,0.0412227725917758,0.0315789567950864,-0.0467635970981789,-0.348523904653365,2.47765041966989e-05
8,2.37224490586595,3.42817954555903,2.12353238998094,0.128045951081913,0.711949644079141,"iva",TRUE,TRUE,282097.798326924,281625.783555105,-0.167323096677263,-0.19636262640611,-0.115453844410851,-0.0992694177757159,-0.0339960130538497,-0.0100817193791569,0.544944911466076,2.47765041962753e-05
8,2.37224490586595,3.42817954555903,2.12353238998094,0.128045951081913,0.711949644079141,"pit",TRUE,TRUE,282097.798326924,280708.387475913,-0.492528073331666,-0.640744189577891,-0.269882132821464,-0.145258848003693,-0.0186451676532084,-0.012472661861529,1.03219118262691,2.47765041962753e-05
8,2.37224490586595,3.42817954555903,2.12353238998094,0.128045951081913,0.711949644079141,"fit",TRUE,TRUE,282097.798326924,282662.034556683,0.200014403907112,0.152141241436055,0.405725413967351,0.051551525290261,0.0229470669863341,-0.0305171976190594,-0.430786094611895,2.47765041962753e-05
9,1.36458756040156,2.10982740543477,2.67704351338853,0.102783056891894,0.250334960676264,"iva",TRUE,TRUE,282097.798326924,281831.377418123,-0.0944427465866982,-0.121624156723266,-0.0317256235754959,-0.137461752495693,-0.09753982898556,0.0108020579989432,0.393172661980442,2.47765041939603e-05
9,1.36458756040156,2.10982740543477,2.67704351338853,0.102783056891894,0.250334960676264,"pit",TRUE,TRUE,282097.798326924,281150.518452827,-0.33579839322202,-0.48839093780455,-0.0747516245659385,-0.200797347689707,-0.132562775936973,0.0357813150449887,0.703801094527476,2.47765041939603e-05
