"shock","parametro_var","low","high","base","amplitud"
"fit","eta",0.00790744223337914,0.323011712390375,0.0864533088247521,0.315104270156996
"fit","omega",0.0890726680484066,0.109078279522601,0.0976828730841817,0.0200056114741942
"fit","phi",0.0980356257650694,0.0973378427263638,0.0976828730841817,0.000697783038705602
"fit","sigma_q",7.08975100849329e-09,0.0992682249168597,0.0976828730841817,0.0992682178271087
"fit","sigma_t",0.0974597311842462,0.0982142397118801,0.0976205305037059,0.000754508527633924
"iva","eta",-0.0926404994304741,-0.1795278471595,-0.11449906974621,0.0868873477290255
"iva","omega",-0.0992870826553305,-0.141852729248493,-0.117614537704147,0.0425656465931623
"iva","phi",-0.118353413162287,-0.116890172113349,-0.117614537704147,0.00146324104893791
"iva","sigma_q",7.08975100849329e-09,-0.121334117890659,-0.117614537704147,0.12133412498041
"iva","sigma_t",-0.116988027576514,-0.11896297076277,-0.117444482594897,0.00197494318625591
"pit","eta",-0.330458172962012,-0.533440921788231,-0.381645593839197,0.202982748826219
"pit","omega",-0.355363532733333,-0.433268579808377,-0.388935425551606,0.0779050470750442
"pit","phi",-0.39025837970158,-0.387635730873459,-0.388935425551606,0.00262264882812113
"pit","sigma_q",7.08975100849329e-09,-0.395817269750653,-0.388935425551606,0.395817276840404
"pit","sigma_t",-0.387782638885814,-0.391413241966698,-0.388622595634813,0.00363060308088414
