,Act_Agri,Act_Min,Act_Manu,Act_elect_agua_gas,Act_const,Act_com_hot_rest,Act_trans_comu_inf,Act_int_fin,Act_inmo_viv,Act_serv_emp,Act_serv_pers,Act_adm_pub,prod_Agri,prod_Min,prod_Manu,prod_elect_agua_gas,prod_const,prod_com_hot_rest,prod_trans_comu_inf,prod_int_fin,prod_inmo_viv,prod_serv_emp,prod_serv_pers,prod_adm_pub,prod_otros,Trabajo,Capital,Hogares,Empresas,Gobierno,Cont_soc,Pres_soc,Imp_dir,Imp_prod,Imptos_Espec,IVA,Arancel,row,S-I,Var_Exis,Total
Capital,6539.094537,24424.21428,17066.99411,6567.778421,8087.165226,12013.81243,13260.02518,2263.458449,19634.16145,14802.11399,7609.885545,2449.238176,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,134717.9418
Hogares,,,,,,,,,,,,,,,,,,,,,,,,,,114601.565,29078.4637,,34181.77244,2292.6457,,20407.9412,,,,,,,,,200562.388
Empresas,,,,,,,,,,,,,,,,,,,,,,,,,,,102970.8511,,,,15585.8455,,,,,,,,,,118556.6966
Gobierno,,,,,,,,,,,,,,,,,,,,,,,,,,,2668.627,,8772.657373,,0,,18540.9344,4159.657349,2743.9124,24331.9989,1541.570626,,,,62759.35805
Cont_soc,,,,,,,,,,,,,,,,,,,,,,,,,,,,15585.8455,,,,,,,,,,,,,15585.8455
Pres_soc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9387.2272,11020.714,,,,,,,,,,,20407.9412
Imp_dir,,,,,,,,,,,,,,,,,,,,,,,,,,,,5106.7353,13434.1991,,,,,,,,,,,,18540.9344
Imp_prod,133.2624134,290.1936833,453.8419451,355.3176739,202.0292588,651.4219003,-966.2941033,496.2828773,1948.710134,185.0707753,376.8397725,32.98101829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4159.657349
Imptos_Espec,,,,,,,,,,,,,0,0,2743.9124,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2743.9124
IVA,,,,,,,,,,,,,992.5214632,1.002497021,14078.20002,1063.056536,1235.398749,1913.752533,1459.882428,743.8232388,355.3189705,1713.456158,775.5863059,0,0,,,,,,,,,,,,,,,,24331.9989
Arancel,,,,,,,,,,,,,39.08287815,29.90957766,1472.239245,0,0,0,0.338924864,0,0,0,0,0,0,,,,,,,,,,,,,,,,1541.570626
row,,,,,,,,,,,,,1522.495742,7717.351588,62248.17675,3.358219841,0.437835484,281.1247597,4203.768671,2121.758767,173.3236874,3507.334558,45.66974687,0,2526.562691,,,,2464.054655,,,,,,,,,,,,86815.41767
S-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,9242.7787,50316.786,6262.4066,,,,,,,,,,,65821.9713
Var_Exis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3002.647069,,-3002.647069
Total,24002.68146,53334.02868,91315.24375,16963.91745,39037.87368,64875.29145,49051.03611,23747.59812,27245.07882,40067.1353,50465.64484,18432.09034,30157.46575,57513.08022,205532.0101,17772.5212,40030.99923,17947.14404,54386.61856,24915.9598,29257.17165,64317.50589,49757.54333,17391.8825,2526.562691,114601.565,134717.9418,200562.388,118556.6968,62759.35805,15585.8455,20407.9412,18540.9344,4159.657349,2743.9124,24331.9989,1541.570626,86815.41767,65821.97113,-3002.647069,
