,Act_1,Act_2,Act_3,Act_4,Act_5,Act_6,Act_7,Act_8,Act_9,Act_10,Act_11,Act_12,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,Marg_com,Trabajo,Capital,Hogares,Empresas,Gobierno,Cont_soc,Pres_soc,Imp_dir,Imp_prod,Imptos_Espec,IVA,Arancel,row,S-I,Var_Exis,Total
Hogares,,,,,,,,,,,,,,,,,,,,,,,,,,,102890.9723,31833.51308,,18733.7577,23436.5281,,17381.8182,,,,,,,,,194276.5894
Empresas,,,,,,,,,,,,,,,,,,,,,,,,,,,,104825.881,,,,12575.17476,,,,,,,,,,117401.0558
Gobierno,,,,,,,,,,,,,,,,,,,,,,,,,,,,3039.6799,,17102.6048,,1397.24164,,25141.2771,3713.331098,1517.945306,24643.88123,1092.238909,,,,77648.19999
Cont_soc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13972.4164,,,,,,,,,,,,,13972.4164
Pres_soc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7943.0668,9438.7514,,,,,,,,,,,17381.8182
Imp_dir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4377.3673,20763.9098,,,,,,,,,,,,25141.2771
Imp_prod,112.5376438,226.0635903,368.545044,327.5061625,185.1145904,595.7812397,-667.0071204,462.9609827,1572.900897,173.2418584,326.2162426,29.4699668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3713.331098
Imptos_Espec,,,,,,,,,,,,,0,0,1517.945306,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1517.945306
IVA,,,,,,,,,,,,,927.8127332,0.894931749,15190.06729,979.3444365,1183.930791,1779.893582,1475.81277,674.2272253,361.0672163,1385.839108,684.9911486,0,0,,,,,,,,,,,,,,,,,24643.88123
Arancel,,,,,,,,,,,,,55.17789507,27.77205959,1008.830872,0,0,0,0.458083219,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1092.238909
row,,,,,,,,,,,,,1869.484815,9307.865231,80107.97053,2.500637429,1.270990595,253.9385167,4260.131632,3079.409821,171.9211936,3590.482855,39.05065938,0,1476.7075,,,,,,,,,,,,,,,,,104160.7344
S-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8972.3538,52857.7165,6036.6548,,,,,,,,,,,67866.7251
Var_Exis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.2999861,,408.2999861
Total,23394.99486,59539.88886,92693.7644,15960.9423,37145.8707,61479.88399,47166.59504,21805.28531,25667.14376,36788.70867,45689.43277,16495.8224,29286.51246,65843.51437,224097.3389,16602.66542,38115.32995,16049.01306,52663.75983,23982.00224,27605.97574,58914.97525,44999.48529,15605.85294,1476.7075,0,102890.9723,139699.074,194276.5894,117401.0556,77648.20003,13972.4164,17381.8182,25141.2771,3713.331098,1517.945306,24643.88123,1092.238909,104160.7343,67866.7252,408.2999861,
