,Act_Agri,Act_Min,Act_Manu,Act_elect_agua_gas,Act_const,Act_serv,prod_Agri,prod_Min,prod_Manu,prod_elect_agua_gas,prod_const,prod_serv,Trabajo,Capital,Hogares,Empresas,Gobierno,Cont_soc,Pres_soc,Imp_dir,Imp_prod,Imptos_Espec,IVA,Arancel,row,S-I,Var_Exis,Total
Act_Agri,,,,,,,21362.31205,0,12.86823935,0,0,2627.501173,,,,,,,,,,,,,,,,24002.68146
Act_Min,,,,,,,0,49280.12014,2943.47034,0,0,1110.438205,,,,,,,,,,,,,,,,53334.02868
Act_Manu,,,,,,,187.1851599,355.3459558,83302.67816,455.2584214,0,7014.776049,,,,,,,,,,,,,,,,91315.24375
Act_elect_agua_gas,,,,,,,0,0,111.1484844,15991.61704,19.7909756,841.3609576,,,,,,,,,,,,,,,,16963.91745
Act_const,,,,,,,0,0,0,0,38774.86355,263.010129,,,,,,,,,,,,,,,,39037.87368
Act_serv,,,,,,,6053.868456,129.3504603,38619.31646,259.2309854,0.508117585,228821.6005,,,,,,,,,,,,,,,,273883.875
prod_Agri,1886.621358,0.040718651,12834.2371,42.93075299,17.55950631,641.5643331,,,,,,,,,7698.253912,,0,,,,,,,,6189.056081,775.053176,72.14880965,30157.46575
prod_Min,33.05564457,4123.300255,7921.644335,2442.96924,233.6222187,10.60681859,,,,,,,,,-4.9685E-15,,0,,,,,,,,42879.1844,0,-131.3026907,57513.08022
prod_Manu,7066.811103,6610.455897,28198.49452,937.3536622,10672.65292,26586.46307,,,,,,,,,75169.99649,,180.1163188,,,,,,,,28913.33414,24139.82516,-2943.493188,205532.0101
prod_elect_agua_gas,264.1118831,3789.791712,3015.688459,2021.413974,265.4730988,3476.588606,,,,,,,,,4820.94966,,104.5931393,,,,,,,,13.91066677,0,0,17772.5212
prod_const,0,0,0,0,5945.274935,2743.85047,,,,,,,,,0,,0,,,,,,,,0,31341.87383,0,40030.99923
prod_serv,5186.659173,9658.146707,12319.00543,2981.461947,4813.045461,78317.56055,,,,,,,,,82937.82846,,42898.88229,,,,,,,,8819.932387,12567.86605,1.13511E-13,260500.3884
Trabajo,2893.065349,4437.885431,9505.337841,1614.691784,8801.051054,87349.53352,,,,,,,,,,,,,,,,,,,,,,114601.565
Capital,6539.094537,24424.21428,17066.99411,6567.778421,8087.165226,72032.69523,,,,,,,,,,,,,,,,,,,0,,,134717.9418
Hogares,,,,,,,,,,,,,114601.565,29078.4637,,34181.77244,2292.6457,,20407.9412,,,,,,,,,200562.388
Empresas,,,,,,,,,,,,,,102970.8511,,,,15585.8455,,,,,,,,,,118556.6966
Gobierno,,,,,,,,,,,,,,2668.627,,8772.657373,,0,,18540.9344,4159.657349,2743.9124,24331.9989,1541.570626,,,,62759.35805
Cont_soc,,,,,,,,,,,,,,,15585.8455,,,,,,,,,,,,,15585.8455
Pres_soc,,,,,,,,,,,,,,,,9387.2272,11020.714,,,,,,,,,,,20407.9412
Imp_dir,,,,,,,,,,,,,,,5106.7353,13434.1991,,,,,,,,,,,,18540.9344
Imp_prod,133.2624134,290.1936833,453.8419451,355.3176739,202.0292588,2725.012374,,,,,,,,,,,,,,,,,,,,,,4159.657349
Imptos_Espec,,,,,,,0,0,2743.9124,0,0,0,,,,,,,,,,,,,,,,2743.9124
IVA,,,,,,,992.5214632,1.002497021,14078.20002,1063.056536,1235.398749,6961.819634,,,,,,,,,,,,,,,,24331.9989
Arancel,,,,,,,39.08287815,29.90957766,1472.239245,0,0,0.338924864,,,,,,,,,,,,,,,,1541.570626
row,,,,,,,1522.495742,7717.351588,62248.17675,3.358219841,0.437835484,12859.54288,,,,2464.054655,,,,,,,,,,,,86815.41767
S-I,,,,,,,,,,,,,,,9242.7787,50316.786,6262.4066,,,,,,,,,,,65821.9713
Var_Exis,,,,,,,,,,,,,,,,,,,,,,,,,,-3002.647069,,-3002.647069
Total,24002.68146,53334.02868,91315.24375,16963.91745,39037.87368,273883.875,30157.46575,57513.08022,205532.0101,17772.5212,40030.99923,260500.3884,114601.565,134717.9418,200562.388,118556.6968,62759.35805,15585.8455,20407.9412,18540.9344,4159.657349,2743.9124,24331.9989,1541.570626,86815.41767,65821.97113,-3002.647069,
