skill,01 agricultura,02 mineria,03 manufactura,04 agua luz gas,05 construccion,06 comercio restaurantes hoteles,07 transporte comunicacion,08 intermediacion financiera,09 inmobiliario,10 servicios empresariales,11 servicios personales,12 administracion publica,99 sin info,No clasificado
1 baja,1161.533625852,97.597345512,523.19203818,74.991262032,850.41662772,1017.594474048,322.12499532,9.11712,23.960136,242.801740356,719.73207216,136.275131484,0.46548,1.554
2 media,1747.557463068,1230.195100908,3180.553342368,366.61608672,2803.128120084,6397.985083056,2785.293678816,272.999334096,174.011508,1431.904497588,3641.304746844,1082.222374776,4.7016,0.0
3 alta,1407.78076062,3059.00996268,4610.40557238,1172.261884416,3096.97909212,8586.642146376,5873.054361444,3801.049412016,899.325740064,6970.422705948,18865.382111604,6093.3415356,20.7948,73.370112
